latitude;longitude;descr_cat_veh;descr_agglo;descr_athmo;description_intersection;age;descr_grav;descr_motif_traj;descr_type_col
46.7833;-2.06667;2;1;2;1;56;1;1;1
48.4667;7.71667;1;1;1;1;58;1;1;1
48.4667;7.71667;2;1;1;1;87;1;1;1
44.3833;0.316667;2;1;1;2;90;1;2;1
44.5;1.13333;2;1;2;2;57;1;2;1
44.5;1.13333;2;1;2;2;41;1;2;1
48.0667;-0.933333;1;1;1;1;46;1;1;1
48.0667;-0.633333;2;1;2;1;41;1;1;1
46.9833;5.61667;2;1;1;1;52;1;1;1
47.15;5.63333;1;1;2;1;61;1;1;1
47.1;5.5;2;1;2;1;49;1;1;1
47.7333;3.4;2;1;2;1;37;1;1;1
47.7333;3.4;1;1;2;1;42;1;1;1
43.1333;-0.466667;1;1;2;1;52;1;1;1
43.35;-1.55;2;1;1;1;46;1;1;1
44.5;0.166667;2;1;2;1;52;1;1;1
43.9333;2.85;1;1;2;1;74;1;1;1
44.4;2.03333;2;1;1;1;40;1;2;1
50.7;3.16667;2;1;1;2;44;1;1;1
50.7;2.83333;2;1;2;2;37;1;1;1
50.7;3.21667;2;1;2;1;65;1;1;1
50.6667;3.15;2;1;2;1;41;1;1;1
43.3583;-1.775;2;1;1;1;81;1;2;1
46.6833;-0.25;2;1;2;1;49;1;2;1
46.6833;-0.25;2;1;2;1;50;1;2;1
48.5167;0.533333;1;1;1;1;61;1;1;1
45.1167;5.7;1;1;2;2;39;1;2;1
45.6333;5.15;2;1;2;1;80;1;1;1
44.9667;5.7;1;1;1;1;60;1;1;1
47.3333;-0.183333;2;1;2;1;47;1;2;1
42.9923;-0.0730556;2;1;2;1;55;1;1;1
43.5312;0.844722;1;1;1;1;51;1;1;1
44.0667;2.98333;2;1;2;1;85;1;2;1
44.3667;0.15;2;1;2;2;41;1;2;1
44.2333;0.683333;2;1;1;1;33;1;1;1
44.2333;0.683333;2;1;1;1;31;1;1;1
44.2333;0.683333;2;1;1;1;33;1;1;1
45.6333;5.9;2;1;2;2;41;1;1;1
45.2667;6.33333;1;1;1;1;40;1;1;1
45.2464;6.30251;2;1;1;1;35;1;2;1
45.7;5.83333;1;1;2;1;52;1;1;1
45.7167;5.95;2;1;2;1;46;1;1;1
45.7167;-0.583333;2;1;2;1;40;1;2;1
46.0333;-0.833333;1;1;2;1;54;1;1;1
47.7833;7.0;1;1;2;1;35;1;1;1
